"ID","medianVOI_Concerned","medianPercentMaxVOI_Concerned","medianVOI_Skeptical","medianPercentMaxVOI_Skeptical"
"6 month pause",0.000302940158423218,0.00273699837281027,0,0
"AI Forecasting skill",0.000476975549597974,0.00195306446829218,0,0
"AI Robotics",0.000886743466914556,0.00458146555265861,0,0
"AI articles and apps",0,0,0,0
"AI coding",0.000975877033771764,0.00484561525418561,0,0
"AI solving novel math problems",0.000702445117441764,0.00287629125005922,0,0
"AI writes AI",0.000861515361493735,0.00403938583839744,9.14058833463199e-07,0.00026617305426203
"Alignment researchers changing minds",0.00644138833501164,0.024280097410326,0,0
"Alignment solution",0.00198843494511485,0.0151337793606533,3.94684562551329e-07,0.000114931765482019
"Cyberattacks",3.37006784495133e-06,1.42318223536195e-05,0,0
"Democratic influence",0.000108742323091471,0.000858369829088061,3.44898834281403e-06,0.000295119244378148
"Escalating warning shots",0.000483831027722138,0.00182374728432057,1.88830083050843e-07,3.01373022094245e-05
"Evidence of misalignment",0.00287995478425903,0.0174123329111316,5.46086176466076e-09,0.000450590913615254
"Fast AI efficiency gains",0.000102464068638989,0.000553081804525928,7.00433691899519e-16,8.30459137230428e-09
"IC demonstration",0,0,0,0
"IT progress",0.000177928636155949,0.00135419704232293,0,0
"Intergovernmental AI safety",0.00035131399714447,0.00714460777133698,1.34293132752999e-06,0.000264157268479995
"Major powers war",0.00456376668941231,0.0204462005217749,4.14524873854402e-07,3.89191250565428e-05
"Muehlhauser policies",0.000981358543183778,0.00401835377717516,5.70287296561264e-11,5.05233412692742e-05
"No violence LLM",0.000827751342179033,0.00492775688528703,0,0
"Non-democracy AI",0.000191313534378792,0.00065454391646164,0,0
"Other fields IC",0,0,0,0
"Platform: AI regulation",0.00065809672779828,0.00443522676872761,1.13203802950594e-06,0.000180673395131621
"Platform: ARC Evals",0.00319664504075757,0.0135243154479373,7.62555136783888e-07,0.00902549259743773
"Platform: Escalating warning shots",0.000490453104208805,0.00219728640783596,4.75938238552704e-07,0.000138592757881558
"Platform: Transformative growth",0.0138553362608003,0.0892652984368828,4.52674190956397e-07,0.000180180945950428
"Politicization",0,0,0,0
"Power-seeking",0.000135310833798082,0.000813203676159207,4.69902851096685e-07,0.00123921777848879
"Power-seeking shutdown",0.000768928392131838,0.00381803343797294,1.69249698820037e-06,0.00042041017712832
"Progress in lethal technologies",0,0,7.1743019367978e-06,0.00449897268129447
"Public concern",0.000177882417976393,0.00125462103609626,1.10964133003847e-07,0.000264157268479995
"Reduction in AI investment",0.000991208671722147,0.00672165555835659,1.29491150613721e-10,5.31954700491748e-05
"Req testing",0,0,0,0
"Short-term GDP change",0,0,0,0
"Supers changing minds",0.000314188679183205,0.00430765929527851,0.000157386041789971,0.0115122460837674
"Taiwan-China",0.000118766389043181,0.000413491830913108,0,0
"Warning shot",0.00104426333111294,0.00413300512734453,3.34797090667949e-07,0.000124610359581487
