"ID","avg_rank_KL","avg_rank_skeptic_KL","avg_rank_concerned_KL","avg_rank_naive","avg_rank_skeptic_naive","avg_rank_concerned_naive"
"6 month pause",16.1764705882353,18.2222222222222,15.125,16.8823529411765,18.4444444444444,15.125
"AI Forecasting skill",14.7647058823529,13.1111111111111,14.625,13.5294117647059,12.5555555555556,14.625
"AI Robotics",13.625,14.9090909090909,10.4,13.8125,15.3636363636364,10.4
"AI articles and apps",18.2941176470588,16,20.375,17.7058823529412,15.3333333333333,20.375
"AI coding",16.5,17.6363636363636,13.2,16,17.2727272727273,13.2
"AI solving novel math problems",14.8235294117647,16.3333333333333,12.5,14.5294117647059,16.3333333333333,12.5
"AI writes AI",10.0555555555556,9.8,11.625,10.7222222222222,10,11.625
"Alignment researchers changing minds",12.2352941176471,17.5555555555556,6.625,13.1176470588235,18.8888888888889,6.625
"Alignment solution",9.61111111111111,13,10,12.0555555555556,13.7,10
"Cyberattacks",18.1666666666667,16.7,19.125,17.5,16.2,19.125
"Democratic influence",12.8333333333333,8.6,20,15.2222222222222,11.4,20
"Escalating warning shots",11.8125,12.75,11.5,13.0625,14.625,11.5
"Evidence of misalignment",11.0666666666667,12.8571428571429,8.5,11.2666666666667,14.4285714285714,8.5
"Fast AI efficiency gains",14.1176470588235,14.5555555555556,13.75,14.5294117647059,15.2222222222222,13.75
"IC demonstration",19.3888888888889,17,21.625,18.9444444444444,16.8,21.625
"IT progress",17.2777777777778,17.9,16.125,16.8333333333333,17.4,16.125
"Intergovernmental AI safety",12.5625,12.0909090909091,13.8,11.1875,10,13.8
"Major powers war",12.0625,13.2727272727273,10.4,12.0625,12.8181818181818,10.4
"Muehlhauser policies",12.8823529411765,14.8,8.71428571428571,11.5294117647059,13.5,8.71428571428571
"No violence LLM",15.5294117647059,19.1111111111111,14.125,16.7647058823529,19.1111111111111,14.125
"Non-democracy AI",15.8235294117647,15.4444444444444,16,15.2941176470588,14.6666666666667,16
"Other fields IC",16.3125,14.8181818181818,19.2,15.625,14,19.2
"Platform: AI regulation",10.5909090909091,12,7.81818181818182,9.18181818181818,10.5454545454545,7.81818181818182
"Platform: ARC Evals",8.72727272727273,8.72727272727273,9,9.13636363636364,9.27272727272727,9
"Platform: Escalating warning shots",13.7222222222222,12.6363636363636,17.1428571428571,15.3333333333333,14.1818181818182,17.1428571428571
"Platform: Transformative growth",8.68181818181818,13.8181818181818,3,8.72727272727273,14.4545454545455,3
"Politicization",17.875,18,17.6,17.8125,17.9090909090909,17.6
"Power-seeking",12.5882352941176,8.8,16.1428571428571,11.8235294117647,8.8,16.1428571428571
"Power-seeking shutdown",11.875,11.4545454545455,12.8,11.875,11.4545454545455,12.8
"Progress in lethal technologies",14.7333333333333,11.5714285714286,16.5,14.0666666666667,11.2857142857143,16.5
"Public concern",13.75,12.1818181818182,18,13,10.7272727272727,18
"Reduction in AI investment",13.7647058823529,14.4444444444444,14.875,15.1176470588235,15.3333333333333,14.875
"Req testing",19.1176470588235,18.4,19.4285714285714,18.5294117647059,17.9,19.4285714285714
"Short-term GDP change",20.4117647058824,19.6666666666667,20.625,19.8823529411765,19.2222222222222,20.625
"Supers changing minds",10.8461538461538,8.33333333333333,12.1428571428571,10.6923076923077,9,12.1428571428571
"Taiwan-China",15.5,15,15,14.9444444444444,14.9,15
"Warning shot",13.6875,13.75,12,12.5625,13.125,12
