"ID","medianVOI_Concerned","medianPercentMaxVOI_Concerned","medianVOI_Skeptical","medianPercentMaxVOI_Skeptical"
"6 month pause",0.00899999999999998,0.024,0,0
"AI Forecasting skill",0.016,0.0426666666666667,0,0
"AI Robotics",0.0231,0.08,0,0
"AI articles and apps",0,0,0,0
"AI coding",0.0225,0.0779220779220779,0,0
"AI solving novel math problems",0.01,0.0476190476190476,0,0
"AI writes AI",0.015,0.0476190476190476,4.00000000000001e-05,0.00927835051546393
"Alignment researchers changing minds",0.06,0.142857142857143,0,0
"Alignment solution",0.014,0.0720344875538869,1.26e-05,0.006872852233677
"Cyberattacks",0.001,0.00278125434570992,0,0
"Democratic influence",0.002,0.00952380952380958,3.39999999999978e-05,0.0036999663639421
"Escalating warning shots",0.0126,0.03,4.00000000000011e-06,0.00100200400801606
"Evidence of misalignment",0.03,0.157142857142857,2.00000000000039e-06,0.00999900009998999
"Fast AI efficiency gains",0.00800000000000001,0.0190476190476191,1.7999999995587e-15,9.0000000877935e-08
"IC demonstration",0,0,0,0
"IT progress",0.004,0.0366300366300366,0,0
"Intergovernmental AI safety",0.0054,0.0663050030138638,6.00000000000001e-05,0.01001001001001
"Major powers war",0.038,0.121212121212121,1e-05,0.00333733813910024
"Muehlhauser policies",0.014,0.048,8e-10,0.0100502512562813
"No violence LLM",0.00750000000000001,0.0357142857142858,0,0
"Non-democracy AI",0.00400000000000002,0.00833333333333339,0,0
"Other fields IC",0,0,0,0
"Platform: AI regulation",0.02176,0.102459016393443,8.4e-05,0.0255511022044088
"Platform: ARC Evals",0.04788,0.135592068373745,5.99999999999999e-05,0.045045045045045
"Platform: Escalating warning shots",0.00884999999999999,0.0241109101868595,9.99999999999999e-06,0.00482412060301512
"Platform: Transformative growth",0.09,0.327083333333333,1e-05,0.00400400400400405
"Politicization",0,0,0,0
"Power-seeking",0.00750000000000001,0.0208594075928244,4.00000000000003e-05,0.028030048211683
"Power-seeking shutdown",0.021,0.0768442622950819,7.92e-05,0.0250300360432519
"Progress in lethal technologies",0,0,0.00014,0.100502512562814
"Public concern",0.00749999999999998,0.0259740259740259,1.00000000000001e-05,0.01000001000001
"Reduction in AI investment",0.0136,0.0400000000000001,3.6e-10,0.00203045685279187
"Req testing",0,0,0,0
"Short-term GDP change",0,0,0,0
"Supers changing minds",0.012,0.0625000000000001,0.00144,0.150753768844221
"Taiwan-China",0.00559999999999999,0.0155750243359755,0,0
"Warning shot",0.009,0.0476190476190476,5.00000000000036e-06,0.00751503006012022
