"ID","median_cross_camp_pairs","VoD_between_medians"
"Muehlhauser policies",-0.00649888392857143,-0.385976237767196
"Reduction in AI investment",-0.000841175873649465,-0.0502167864510599
"Platform: AI regulation",0.000982432973189284,-0.0127120111650924
"Platform: Escalating warning shots",-0.000284135732425569,-0.00709497995186004
"Intergovernmental AI safety",-0.000790966223955802,-0.00217652286233697
"Supers changing minds",0.00514285714285712,-0.00168157386750696
"Power-seeking",0.00151449406252235,-0.000359562983177353
"Democratic influence",0.00020198787316722,-8.81888473581727e-05
"Alignment solution",-0.00116811827956989,0.00232245501220782
"Public concern",-0.0005101990311277,0.00362749699660569
"Escalating warning shots",0.000988822571893699,0.0178852884064045
"Power-seeking shutdown",0.0012,0.0180997351735253
"Evidence of misalignment",0.00333333333333335,0.0271942115792849
"Major powers war",0.00551106308091853,0.0302198286190497
"AI writes AI",0.00253439803439806,0.0385444481281174
"Fast AI efficiency gains",0.00148989898989893,0.0412309041308343
"Warning shot",0.0019417493872549,0.0631889686462999
"Platform: ARC Evals",0.0073560606060606,0.106295383214266
"Platform: Transformative growth",-0.00908308823529412,0.120049872613658
"6 month pause",-0.00154639175257731,NA
"AI articles and apps",0,NA
"AI coding",-7.14285714285764e-05,NA
"AI Forecasting skill",0.0015,NA
"AI Robotics",0.00375000000000003,NA
"AI solving novel math problems",-0.000222222222222221,NA
"Alignment researchers changing minds",-0.0160032216494846,NA
"Cyberattacks",3.46944695195361e-18,NA
"IC demonstration",0,NA
"IT progress",0.000959595959595938,NA
"No violence LLM",-0.00110999999999999,NA
"Non-democracy AI",-5.62050406216485e-15,NA
"Other fields IC",0,NA
"Politicization",0,NA
"Progress in lethal technologies",0.00023118279569892,NA
"Req testing",-1.38777878078145e-17,NA
"Short-term GDP change",2.47474747483434e-06,NA
"Taiwan-China",0,NA
